"","BC16_fliv_N_1.sort.bam","BC16_fliv_N_2.sort.bam","BC16_fliv_O_1.sort.bam","BC16_fliv_O_2.sort.bam","BC16_fliv_P_1.sort.bam","BC16_fliv_P_2.sort.bam","BC16_fliv_Q_1.sort.bam","BC16_fliv_Q_2.sort.bam","BC16_fliv_R_1.sort.bam","BC16_fliv_R_2.sort.bam","CTRL_fliv_B_1.sort.bam","CTRL_fliv_B_2.sort.bam","CTRL_fliv_D_1.sort.bam","CTRL_fliv_D_2.sort.bam","CTRL_fliv_E_1.sort.bam","CTRL_fliv_E_2.sort.bam","CTRL_fliv_F_1.sort.bam","CTRL_fliv_F_2.sort.bam"
"Gm48478",7.77220626039782,7.77220626039782,7.99024281993143,7.99015995663696,7.95653810057067,7.96186660181771,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,9.14393440159582,9.15921573181053,7.88387643796239,7.88418316743581,8.24134346268813,8.22539177914152,7.77220626039782,7.77220626039782
"Tbx20",7.77220626039782,7.77220626039782,8.13466164782114,8.13155765095511,8.0178524164381,8.0104271132169,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.77152672502848,8.77701816913188,8.08750819136707,8.09228296390388,8.25658835958885,8.25640062395722,8.45677146725425,8.45741974743522
"Siae",8.66317414106356,8.49921424447208,8.50725152817574,8.56120803463583,8.50469958773391,8.47667530945816,8.95429848036318,8.94376811756876,8.73346998609536,8.73499919771659,9.78265327731106,9.75950412427913,8.61241419834334,8.61042478530652,9.30005598017267,9.34313897330112,8.75243469231975,8.73254949249091
"Spa17",7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.9227466679599,7.92912327650432,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.67211717302875,8.66370878449626,8.01663200246897,7.99599187138167,8.11551654547325,8.29938675783939,7.77220626039782,7.77220626039782
"Cadm1",8.53324802668704,8.4263896300475,8.79327802858837,8.79582855862368,8.66270016067712,8.65294176646797,8.68890518536431,8.69819204602956,8.50448349770809,8.42624255002882,9.46117744238999,9.27965226504314,8.83445204253047,8.83075837077418,9.21609930224332,9.21120938965301,8.71035089626747,8.7112253053926
"Cilp",7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.81568160599039,7.81574701342815,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.85871424262458,7.85895190558427,8.33920994307399,8.33899093602073,8.68848024318037,8.68933559301983
"Bmp5",7.77220626039782,7.77220626039782,7.91928272036836,7.91922676710554,7.84750207103667,7.8476153342964,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.52709247575965,8.53131003087647,7.89452870776362,7.89486466266216,8.41077208181988,8.41052626664375,7.77220626039782,7.77220626039782
"Gsta1",7.77220626039782,7.77220626039782,7.77220626039782,7.89522839821035,7.88720511761987,7.887378051533,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.57365770617685,8.70322743099827,8.27901772840994,8.30859901759123,8.32633335085559,7.77220626039782,8.33913056986463,8.35803310955308
"Zmynd10",7.77220626039782,7.77220626039782,7.86524974151575,7.86521432600736,7.96158207894755,7.96186660181771,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.87209208817061,7.85895190558427,8.3878961174968,8.38765884201374,8.45677146725425,8.45741974743522
"Prss50",7.77220626039782,7.77220626039782,7.87622753006797,7.87618793946596,7.89514056379516,7.89532541694284,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.96116125868852,8.95795787601766,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.55589324061968,8.55663119807264
"Pde7b",8.35864413975921,8.24586624918157,8.04706441502973,8.07309341664046,7.9893860873019,8.01435577042783,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,9.27178380257133,9.27965226504314,7.96552829928683,7.96605877496033,8.22556769401114,8.22539177914152,8.33913056986463,8.37580795503199
"Sobp",8.14462601695733,7.90412076395666,7.77220626039782,7.9037167702405,7.89514056379516,7.89532541694284,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,9.22833945396864,9.16714450421677,7.93009236563085,7.93052582154348,8.15581404786471,8.15566485432453,8.32013880008729,8.50173378580746
"Pln",7.77220626039782,7.77220626039782,7.87622753006797,7.83797858777215,7.84750207103667,7.8476153342964,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.36374974758643,8.5149871989971,7.84284325860784,7.84303733874237,7.77220626039782,7.77220626039782,8.32013880008729,8.32066113047046
"Hk1",7.77220626039782,7.77220626039782,8.06961546599599,8.04696007367765,8.11918530490925,8.11425779016433,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.93210565252148,8.99594552634461,8.06298671425651,8.06378310900368,8.82332043645698,8.82292649472918,8.33913056986463,7.77220626039782
"Rtkn2",7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.9096406039358,7.90984722914485,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.79466017541146,8.80026872571389,7.85871424262458,7.88418316743581,8.49462562496262,8.49434876535958,7.77220626039782,7.77220626039782
"Gng7",7.77220626039782,7.77220626039782,7.90376682934094,7.9037167702405,7.9096406039358,7.90984722914485,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.86065282210139,8.86659188015105,7.95898239381081,7.95949495868379,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782
"Cactin",9.17471017361968,9.17396390633256,8.58335978673329,8.57157263339186,8.76646219574509,8.76260232133229,8.54294101181084,8.54545040139481,8.72235840520089,8.7125926461059,7.77220626039782,7.77220626039782,8.39525134475725,8.39106804580199,8.11551654547325,8.11538286907983,8.32013880008729,8.32066113047046
"Timp3",7.77220626039782,7.77220626039782,7.95819664877471,7.95812592786061,7.9893860873019,8.00236685536418,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.08997642244083,8.09178510079619,7.96552829928683,7.96605877496033,8.50438330821571,8.50410286380773,8.44131147228407,8.44194563044675
"Dram1",7.77220626039782,7.77220626039782,7.96391248162731,7.96383959361134,7.9096406039358,7.90984722914485,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.94514458635282,7.94561927130092,8.50438330821571,8.50410286380773,8.33913056986463,8.33967055390243
"Gm34574",7.77220626039782,7.77220626039782,7.87622753006797,7.87618793946596,7.8694053824064,7.87883866228415,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.57365770617685,8.34572984737628,7.90432301385744,7.90468583220256,7.77220626039782,7.77220626039782,8.67732013848141,8.543306335396
"Cpm",7.77220626039782,7.77220626039782,7.89527523028582,7.89522839821035,8.01007003703798,8.00643196246325,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.85871424262458,7.85895190558427,8.49462562496262,8.49434876535958,8.92025689598948,8.92130940614052
"Rassf3",8.52222169536021,8.52180111650993,8.81164065174719,8.7820996512472,8.94888625050733,8.94767399534936,8.68890518536431,8.67905027339907,8.62754250978531,8.60326259148807,9.90235826846374,9.94211181849363,9.0306984458565,9.02158544523316,9.03092890060842,9.061159748968,8.92025689598948,8.91273996355259
"Ppm1h",7.77220626039782,7.77220626039782,8.05856492192305,8.08704148106074,8.03983253494935,8.04023404837404,8.22967951474085,8.23119169298683,7.77220626039782,7.77220626039782,8.84998292780009,8.84501910684949,8.04082263091875,8.0415586874597,8.33920994307399,8.33899093602073,8.64287049010108,8.64368580826973
"Gm47438",7.77220626039782,7.77220626039782,7.90376682934094,7.9037167702405,7.88720511761987,7.887378051533,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.52709247575965,8.53131003087647,7.84284325860784,7.77220626039782,8.20920350983155,8.19201892909563,8.61902959631955,8.6198238399895
"Morc2a",8.94274121353316,8.94876685226869,9.10605366269859,9.09778081890003,9.01168952484871,9.00733533575214,9.01365460415872,9.01309942956599,8.88507726315021,8.87746151140338,8.34251270336284,8.34572984737628,8.77673824589079,8.77708927835121,8.6119569898359,8.611637437887,8.54258033183118,8.543306335396
"Ap1b1",8.6902738717521,8.68976458004186,9.18827920250356,9.18712526240488,9.03706323289128,9.04017253621516,9.31929057334722,9.32734098721135,9.8007541909711,9.79950185325909,8.63145951657697,8.6362287925063,8.83122199791601,8.83939777757644,8.73512827092557,8.74892815752765,8.37523453627177,8.37580795503199
"Emid1",7.77220626039782,7.77220626039782,7.85278776880637,7.85275709409337,7.94049648984914,7.94074940960522,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,9.26465959461961,9.27249664903916,7.82215665511846,7.82229391111243,7.77220626039782,7.77220626039782,8.40918527568399,8.40978997823975
"Plek",8.32892756845122,8.32861228692446,8.20458732851894,8.20195103443961,8.1298105286022,8.13295606132223,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,9.1831152875816,9.18282942280819,8.05433271881272,8.05947753589409,8.949795020497,8.94370591621652,9.14784515508327,9.14907996915187
"Acyp2",7.77220626039782,7.77220626039782,7.91174127807534,7.96938682209962,7.97596203630952,7.97626809469274,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.11746553960507,8.11840983310697,8.41077208181988,8.41052626664375,8.63104232155651,8.63184719664944
"Sh3pxd2b",7.77220626039782,7.77220626039782,8.09055226889605,8.10363968215318,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.84998292780009,9.05913752045151,7.95219721029869,7.95269120409652,8.20920350983155,8.20903384684971,8.47186529302912,8.47252732674771
"Gm12185",7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.934796205824,7.93504057721253,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.64524794347553,8.65008927221994,7.95219721029869,7.93824489629499,7.77220626039782,7.77220626039782,8.60682426988842,8.60760768574711
"Hnrnph1",9.58258703152079,9.57791225741838,10.276988832171,10.2688328843067,10.1847411841723,10.1894943994675,10.0824063949718,10.1156969049156,9.70658290848345,9.70936739789309,9.17539217526553,9.14318030343107,9.62369183072248,9.62973758297361,8.98304951682669,8.98260178756958,9.46557266193169,9.45670238233844
"Rflnb",7.77220626039782,7.77220626039782,7.98011391236076,7.9851580417684,7.98053353558564,7.9808464371486,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,9.22093038065887,9.22108032752823,7.98394832436321,8.01730210541818,7.77220626039782,7.77220626039782,8.64287049010108,8.60760768574711
"Prr11",7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.89514056379516,7.89532541694284,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.84284325860784,7.84303733874237,8.32633335085559,8.32611919589742,8.58180051938338,8.56971234356396
"Col1a1",8.77466500114498,8.77411231096981,8.57954973020424,8.56381316697333,8.44250424479793,8.38790690307596,8.47855962073438,8.53770132530728,7.77220626039782,7.77220626039782,8.7108041348059,8.34572984737628,8.50358444809928,8.48220173735063,9.33979997255622,9.28321805209153,10.3863222182779,10.2778919295323
"Plxdc1",7.77220626039782,7.77220626039782,7.83800363682384,7.83797858777215,8.06657067429566,8.06701203728795,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.89194272174304,9.01440752005508,8.02165984421514,8.02234366315913,8.72071744910277,8.72035918808182,8.33913056986463,8.33967055390243
"G6pc",8.14462601695733,8.14441367710433,10.9975256999281,11.0058598126856,10.9799278817936,10.981695567733,9.52370636278929,9.52610429719961,9.38313114825006,9.34414888812846,8.51085643655118,8.5149871989971,8.83874090640177,8.8415448195179,9.30005598017267,9.33924066116589,8.82145492650618,8.83186716649153
"Cd300lb",7.77220626039782,7.77220626039782,7.99991836619207,7.9998318406651,7.934796205824,7.93504057721253,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,9.34732344722657,9.34882752430709,8.01663200246897,8.01730210541818,8.42188933064241,8.42163937591688,7.77220626039782,7.77220626039782
"Recql5",8.69910863727154,8.69859476440681,8.75739245502685,8.76815109689988,8.78214673016165,8.78791980533762,9.15814557038433,9.15856399596095,8.56178289882143,8.56305358872695,7.77220626039782,7.77220626039782,8.50194751527301,8.50061673834668,8.31313503863613,8.31292586552947,7.77220626039782,7.77220626039782
"Smim6",7.77220626039782,7.77220626039782,7.97485832353032,7.97478128710896,7.9227466679599,7.92297296320204,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.13830050043735,8.139301185927,8.25658835958885,8.25640062395722,8.74210943013867,8.74301135356254
"Itgb4",8.34398893977925,8.34366534495559,8.17119800390236,8.16835992526751,8.07598369843719,8.07951624137596,8.35775282927067,8.35967813749886,9.15940742289192,9.16153374026964,7.77220626039782,7.77220626039782,8.04540113700936,8.05066406893828,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782
"Evpl",7.77220626039782,7.77220626039782,7.95229846185241,7.95222997775688,7.8694053824064,7.8695515714311,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.42309691896587,8.42675438672529,7.87209208817061,7.87236647652574,7.77220626039782,7.77220626039782,8.54258033183118,8.543306335396
"Mrpl12",9.03218487511219,9.03150513209648,9.16312932957249,9.16664616410125,9.21323805431954,9.2252573514903,9.3997853526207,9.40469788484106,8.64003361661556,8.64142325740579,10.3835667779845,10.3924357056442,9.53601614299123,9.53080005618559,9.33588721753371,9.33532906201551,9.55475748099644,9.55628708116288
"AC160138.1",7.77220626039782,7.77220626039782,7.77220626039782,7.83797858777215,7.91634317112166,7.87883866228415,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.90432301385744,7.87236647652574,8.50438330821571,8.51371799913995,8.60682426988842,8.6198238399895
"Gm48557",7.77220626039782,7.77220626039782,7.81873404740824,7.81871633275252,7.81568160599039,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.42188933064241,8.42163937591688,8.66600263145623,8.66683830023478
"Klhdc1",7.77220626039782,7.77220626039782,7.95229846185241,7.77220626039782,7.94600910198311,7.93504057721253,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.64524794347553,8.98658475722389,7.94514458635282,7.94561927130092,8.42188933064241,8.66785576732165,7.77220626039782,7.77220626039782
"Gm48653",7.77220626039782,7.77220626039782,7.87622753006797,7.87618793946596,7.99788915010646,7.99822801713017,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.75972449603996,8.6077362616461,7.84284325860784,7.85895190558427,8.74224200913449,8.68320655622482,7.77220626039782,7.77220626039782
