Geneid,BC16_fliv_N_1.sort.bam,BC16_fliv_N_2.sort.bam,BC16_fliv_O_1.sort.bam,BC16_fliv_O_2.sort.bam,BC16_fliv_P_1.sort.bam,BC16_fliv_P_2.sort.bam,BC16_fliv_Q_1.sort.bam,BC16_fliv_Q_2.sort.bam,BC16_fliv_R_1.sort.bam,BC16_fliv_R_2.sort.bam,CTRL_fliv_B_1.sort.bam,CTRL_fliv_B_2.sort.bam,CTRL_fliv_D_1.sort.bam,CTRL_fliv_D_2.sort.bam,CTRL_fliv_E_1.sort.bam,CTRL_fliv_E_2.sort.bam,CTRL_fliv_F_1.sort.bam,CTRL_fliv_F_2.sort.bam
Gm48387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm39380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm27224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm27225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm26713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm8151,0,0,0,0,0,0,11,0,0,0,0,0,8,8,0,0,0,0
Gm27226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Htr1b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D430036J16Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm9531,0,0,20,7,18,30,0,1,0,0,0,0,12,18,0,0,0,0
Gm26907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mei4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm19228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm15896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm23748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm35548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700063H06Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm22836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm24393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm27249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Irak1bp1,0,0,18,18,32,32,0,0,0,0,0,0,33,33,0,0,0,0
Phip,108,126,302,303,220,217,16,14,121,118,144,144,213,213,131,133,18,32
Gm39383,0,0,0,0,0,0,32,32,0,0,0,0,0,0,0,0,0,0
Gm27248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hmgn3,0,0,60,61,20,20,27,27,0,0,0,0,43,41,0,0,0,0
Gm2065,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
Gm29054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm27216,28,28,413,411,463,442,17,17,54,54,0,0,545,546,28,33,38,38
Gm46123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lca5,0,0,0,0,0,0,0,0,41,41,4,0,3,2,11,11,0,0
Rps27a-ps2,1,2,26,18,5,6,2,1,0,1,1,0,4,3,1,1,0,0
Gm2087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm28552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm28477,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0
Sh3bgrl2,1,1,280,277,361,360,18,18,59,43,0,0,229,229,64,64,167,171
Gm39384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm36120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm2109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elovl4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ttk,21,21,6,6,6,6,0,0,0,0,0,0,9,9,0,0,0,0
Gm36278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bckdhb,132,131,2584,2602,2540,2589,500,498,107,105,263,265,1675,1660,280,280,211,211
Gm29163,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
Gm29164,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gm46124,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
Gm26146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm18487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm8226,0,0,0,0,10,0,0,0,0,0,23,0,3,0,0,0,0,0
Gm39388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm26126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm48811,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
4930554C24Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm48820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm28625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm48821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm8228,23,40,20,46,35,27,0,0,0,0,0,0,27,24,0,0,1,0
Gm28070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm48830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm48831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm11114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tent5a,38,37,548,546,430,427,177,177,63,62,0,0,218,217,32,32,78,76
Gm48832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm36927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm48833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm25125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm48834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm48842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibtk,130,132,606,606,567,580,53,53,34,34,0,0,605,597,47,48,42,42
4933431K14Rik,59,58,30,25,56,55,0,0,0,0,0,0,31,36,0,0,0,0
Gm22830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5619,1,0,21,19,18,8,0,0,1,0,1,0,14,22,0,0,0,0
Gm18766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9330154J02Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tpbg,0,0,0,0,6,6,0,0,0,0,0,0,5,5,0,0,0,0
Gm47604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm18016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ube2cbp,0,0,1,1,34,33,36,36,0,0,0,0,3,3,0,0,0,0
Gm16202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dop1a,0,0,335,320,323,332,44,47,0,0,0,0,137,142,0,0,26,26
Gm17530,0,0,78,79,24,21,0,0,41,41,0,0,16,16,0,0,0,0
Pgm3,20,20,185,179,92,96,0,0,0,0,44,44,42,40,0,0,0,0
Rwdd2a,0,0,46,53,96,88,0,0,0,0,0,0,39,39,0,0,0,0
Me1,324,302,7668,7356,3322,3315,638,772,275,308,205,193,5656,5656,363,413,337,329
Gm38230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A330041J22Rik,0,0,0,0,15,15,0,0,0,0,0,0,3,0,0,0,0,0
Gm25949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm22138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37484,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
Prss35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snap91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37941,26,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm36539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ripply2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
Cyb5r4,0,0,123,120,155,150,88,52,149,146,60,59,199,194,15,15,10,10
Gm8282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mrap2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cep162,99,98,91,92,124,127,0,0,30,30,33,32,32,37,21,21,0,0
Gm24649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm9540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
