"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Ctr9",65.0187488588258,-2.07512458888864,0.614844394255318,-3.37504026754928,0.000738048908748422,0.0314852990183125
"Galnt18",15.7714117130111,5.49968446242134,1.20649541682818,4.55839648100756,5.15456603299848e-06,0.00110307713106167
"Gm26967",22.5333964524761,-5.80946988400965,1.32367189741351,-4.38890475454038,1.1392294612744e-05,0.0021148491011224
"Gm14388",11.4767189256491,-6.2775586866015,1.68960305424442,-3.71540443823876,0.000202878930275789,0.0131896985556513
"Glud-ps",17.4248673255111,-3.35524005200695,0.882239315474084,-3.80309513887847,0.000142899444512848,0.0108597446508903
"Ino80e",25.5222424524406,-3.30682297948209,0.800579488298594,-4.13053672722719,3.61917266947042e-05,0.00457083708944264
"Mylpf",25.5728032894959,-5.28320168365023,1.13306407538386,-4.66275632457979,3.12002106957066e-06,0.000788086633441717
"Rgs10",41.8630282327962,-2.89515922848622,0.915214895767081,-3.16336550232791,0.00155956395450977,0.0486432417228473
"Htra1",24.7295627088094,5.7095513446907,1.5611223205431,3.65733758947498,0.000254848635235413,0.0155335989350833
"Dmbt1",33.0657913214086,-24.0889864678977,2.54931238877747,-9.44920935305601,3.41399644148191e-21,1.31507142925883e-17
"Cdcp3",39.7332609954541,9.10560534009811,2.18553566430481,4.16630370705687,3.09578214496792e-05,0.00429728029636628
"Cpxm2",17.1530030341377,5.12656419749263,0.919850876383838,5.57325576254972,2.50022087976282e-08,1.6749305789298e-05
"Lrrc27",18.4611452699875,-4.21090825125368,1.01615992445437,-4.14394245424976,3.41385444678137e-05,0.00446163855007113
"Pwwp2b",22.7943331212326,3.10299380342305,0.946918867529485,3.2769373489397,0.00104939651808004,0.0389022003257358
"Proz",1448.66477937131,-0.796520849204292,0.185334261258556,-4.29775284826092,1.72538391060951e-05,0.00276924117652826
"Tcim",172.632884979689,-1.42069494844255,0.285602682181336,-4.97437537207902,6.545836025296e-07,0.000252145603694402
"Nrg1",15.402440202575,4.66611461150423,1.32136572592277,3.53128170344034,0.000413551058237511,0.0211694176256597
