"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Nuak1",24.0731939585777,3.42008683996738,1.12373730324006,3.04349319908334,0.0023384872679797,0.0484490839500554
"Dram1",13.3119622804115,4.4426542989198,1.45832510071422,3.04640871692052,0.00231592788361669,0.0481864539881385
"Gm34574",17.6018776256424,5.22706127506765,1.5542062460878,3.36317093579121,0.000770526368997828,0.0238276727258588
"Gm35035",26.7737807693536,5.85913203751265,1.3061815240802,4.48569508104059,7.267661530465e-06,0.000636551408419829
"Gm4781",13.0153713968813,7.38338529775932,2.40597074126163,3.06877601258263,0.00214937676253106,0.045785857492559
"A130012E19Rik",13.3443368327212,6.22086584084469,2.01683736489134,3.08446578248507,0.00203918065398372,0.0441229222275441
"Ifng",48.6019932750406,-25.0098236457625,3.00370069409428,-8.32633680677156,8.33823546700682e-17,1.74233385965584e-13
"Gm10744",27.3642510250109,-24.2543813779069,3.00410932016785,-8.07373460582045,6.81799853021811e-16,3.91685024464768e-13
"Gm33677",15.0657112384891,-23.4417312976735,3.00487313013276,-7.80123828277497,6.13026341169293e-15,1.08492370098209e-12
"Ppm1h",34.5143691530646,4.54275646746224,1.05589741883847,4.30227064335421,1.69056632673047e-05,0.00132945772371433
"Avil",36.8100659457351,3.38176648822819,1.05110312556174,3.21734985463094,0.00129380725992227,0.0334667704189069
"Myo1a",25.1715714159945,6.5387155043916,2.13435351975106,3.06355786137727,0.00218721903432739,0.0465006581614923
"Coq10a",169.565621819203,-0.922000718717683,0.263549858969124,-3.49839200189327,0.000468072613542261,0.0173271477787878
"Gm47540",26.1659353103562,-7.91890214941312,2.10182785179904,-3.76762642222815,0.000164807084340852,0.00843067508242113
"Olfr819",18.2301556960846,7.86709528468293,2.4279038421248,3.24028289266925,0.00119411166974347,0.0321609341892508
"Gm12735",12.6826271517801,6.57085275997122,1.65205074953055,3.97739159153458,6.96753709210731e-05,0.00419399856157422
"Nefh",13.9426902786224,-5.90595387697797,1.93611273706522,-3.05041837900942,0.00228522784622475,0.0477514681524706
"Emid1",40.5118573522611,5.5667017724293,1.77193880056849,3.14158805633883,0.00168034271708888,0.0392129437693766
"Pgam2",37.7019218980836,-8.55805683785993,2.41658302957771,-3.54138746035779,0.000398028613859377,0.0157350392835705
"Npc1l1",35.5705937960103,8.83994467579211,1.93774948555548,4.56196466142166,5.06771780725666e-06,0.000460406884265486
"Rel",34.326973551287,-4.89136141348859,1.22099501225232,-4.00604536824905,6.17437946957194e-05,0.00384309142559272
"5730522E02Rik",23.0538009658368,6.37535134734359,1.69456985287206,3.76222398654045,0.000168409119312895,0.00852359926709241
"Asb3",39.6321051807183,3.08913502389963,0.608395110561217,5.07751454650916,3.82404237965556e-07,4.46260716618819e-05
"Ranbp17",24.7890076026619,8.31175491804405,2.40523483124882,3.45569372689007,0.000548878605115037,0.019115350850042
"Hspd1-ps3",35.6102252048133,-3.88810431525536,1.27401471449888,-3.05185196921742,0.00227434232426878,0.0475919959614871
"4933415A04Rik",9.41802634552481,6.91092487906191,2.20619134995339,3.13251381354926,0.00173316271737588,0.0396873794494718
"Ebf1",32.0880419487755,3.03000886225702,0.973314872560254,3.11308184810404,0.00185144664299571,0.0412821799498449
"Gm12185",21.6658743186991,5.8375460484904,1.51505027685252,3.8530378415017,0.000116661352247637,0.00656309845894687
"Gm26542",22.1375073713567,8.46000568405555,2.63870786987037,3.20611681977178,0.00134539357182362,0.0343439297994137
"Myh2",158.81232995703,-10.5271065367081,2.04461971082691,-5.14868681005259,2.6231645096315e-07,3.11943311238862e-05
"Myh1",237.786382355691,-11.1104651442986,2.02507078274729,-5.48645767790184,4.10073611683417e-08,5.12662112657551e-06
"Shbg",25.3963906220109,8.34696295162243,2.39713383652187,3.48205962656364,0.000497572884161342,0.0179873072880226
"Sat2",58.1459091489279,2.22975395937177,0.710881030044099,3.13660635906046,0.00170915431738151,0.0396193347073523
"Tnk1",18.1685348370231,6.66869990001616,2.09202401686925,3.18767846173964,0.00143419923626386,0.0356756906220775
"Gm12313",22.0844196940659,8.14476678079626,2.40792883397701,3.38247819697565,0.000718349798519433,0.0226939578897273
"Slc13a5",15.7781804711511,4.80150699442699,1.48271435881452,3.23832231466751,0.0012023488995289,0.0322101783029472
"Olfr398",19.1356695765976,7.93557160288508,2.52448592877016,3.1434406159479,0.00166974291559037,0.039113640473981
"Scarf1",179.129914315953,-1.00113753533797,0.300539643813639,-3.33113303334704,0.000864932563642827,0.0256512832556118
"Gm12344",24.024625232065,-7.7897021321865,2.20197129376776,-3.53760385261775,0.000403775361313046,0.0159191973313367
"Coro6",19.6538974349733,-6.81492236137998,1.67787393532329,-4.06164147252629,4.87288739707527e-05,0.00309894451987043
"Cryba1",15.6911032386534,7.66366157628982,1.75904687265774,4.35671254439673,1.32030480465733e-05,0.00107888817752641
"Rab11fip4",40.812479494247,3.62506201040403,1.17573631131483,3.08322705994349,0.00204768851648245,0.0442415656286392
"Tex14",9.03227614964951,6.86773129033196,1.72475690313026,3.98185464738116,6.83795947791909e-05,0.00413856134053452
"Ppp1r9b",109.138681106492,1.65607118684157,0.524127064895396,3.15967500585395,0.00157945212022782,0.0376264595481634
"Gm27605",15.5239559651512,-23.4800688362591,3.00482295537011,-7.81412721647922,5.53451754987455e-15,1.08492370098209e-12
"Hoxb4",130.964794781077,2.36653309977849,0.642382454554761,3.68399398675785,0.000229607659368586,0.0106957682598226
"Gm11574",17.8417921632222,7.07190058904532,2.0387225965439,3.46879001637291,0.000522807907209322,0.0185302513827848
