"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Gm5697",0.300999164400337,1.00042863638929e-07,0.00144269490527015,0.775615295878842,NA
"Gm5525",0.107104396614065,1.83593983734143e-07,0.00144269499475926,0.655485871572006,NA
"Gm6473",9.85291196439608,1.06949257308101e-06,0.00144269510057653,0.0107421101994889,0.122562282283872
"Phf3",74.3426775772371,4.50731723283143e-07,0.00144269468792729,0.420721633122474,0.777613065483776
"Gm37906",3.17232379893964,4.39983712578967e-07,0.00144269505269502,0.130405103675865,NA
"Ptp4a1",220.952079056118,3.82528971177735e-07,0.00144269330164003,0.741794426319966,0.933173890783218
"4931428L18Rik",0.645236858091002,-3.61212951989817e-08,0.00144269486740798,0.961533423136193,NA
"Gm28644",0.171008727716808,-1.74045909382653e-07,0.00144269491878462,0.883962440380386,NA
"Gm29128",0.101394712638218,-2.46149473122954e-07,0.00144269497823819,0.856859375511258,NA
"Gm7893",2.8299181681005,2.78520953572452e-07,0.00144269501946803,0.226132263995343,NA
"Gm4850",0,3.07144641222704e-07,0.00144269505350588,1,NA
"Gm19680",4.07273153038953,-9.50163287712697e-07,0.00144269503889076,0.0353135434807154,NA
"Khdrbs2",9.54214927846176,4.94834075295682e-07,0.00144269507465161,0.00540630489012493,0.0838579232532952
"Gm37999",0.154153249521886,-2.23853657532409e-07,0.00144269498551318,0.942933380213677,NA
"Gm9839",123.156572747087,6.08465229482197e-07,0.00144269492298674,0.130285464600416,0.449022112064396
"Gm5415",232.032690429834,2.36438983721655e-07,0.00144269442620311,0.696445877751699,0.918256517067219
"Gm37151",2.16990156759555,3.25894762879477e-07,0.00144269504490176,0.103781670114424,NA
"Gm7114",0.0673937768215415,-2.16772518148773e-07,0.00144269497676801,0.935727558921468,NA
"Prim2",19.4702367916102,3.41606304439374,2.12095118194627,0.00118691732676538,0.0320972027255415
"1700001G17Rik",11.1825131449356,-9.41113682982255e-07,0.00144269513551263,0.00885108982938803,0.112242288771804
"Gm38173",6.82189991928986,3.11897230508961e-07,0.00144269505131589,0.0336297229842683,0.195991999751065
"Rab23",45.1793766762621,9.65714441010255e-07,0.0014426929517952,0.425011518077824,0.780103334787844
"Bag2",3.30525217890975,1.04436979430249e-06,0.00144269511260774,0.915295232217237,NA
"Zfp451",95.8951433034163,-1.27622749448834e-08,0.00144269343012266,0.985137095669109,0.995327993881517
"Gm15455",50.0618131489988,6.2442874891214e-07,0.0014426951030524,6.84714462575617e-05,0.00413856134053452
"Bend6",3.55545412055662,3.76324652231311e-07,0.00144269501126021,0.358336737617357,NA
"Gm37067",2.58153899048818,3.04073579808474e-07,0.00144269504574136,0.0970843215359772,NA
"Dst",179.412278839054,7.93572011975645e-07,0.00144269356345177,0.468220160629738,0.809419077388983
"Gm38157",3.01934115803214,-1.63692094552114e-07,0.00144269501134265,0.150474275800834,NA
"Gm5266",0.101242688935265,-2.46054476538962e-07,0.00144269497822648,0.857208198298763,NA
"Gm37233",0.204816817297383,-2.00812048631561e-07,0.00144269492625604,0.826811050692363,NA
"Ccdc115",99.4880676038453,4.75101820498846e-06,0.00144269811841945,0.0376492092727315,0.206098422167756
"Imp4",75.027922091556,-2.46239020378921e-06,0.00144269545213685,0.0432896097518169,0.225980414646619
"Ptpn18",68.1839706440031,-4.40180054381557e-07,0.00144269403993253,0.606205685577466,0.884119762207974
"Gm28417",0.17806357259952,1.37655691841367e-07,0.0014426949347477,0.703481966146735,NA
"Arhgef4",0.240835293100505,-1.42038189247249e-07,0.00144269489709308,0.894129568886859,NA
"Gm38336",0.423907118569547,-2.91683473132314e-07,0.00144269496538155,0.612107558540705,NA
"Fam168b",162.631489674828,6.7845923347556e-06,0.00144269963858187,0.140313180105832,0.467764932259395
"Plekhb2",17.0759372337333,-6.79181885061804e-07,0.00144269444706483,0.352839937836348,0.727002362407699
"1110002O04Rik",0.252553016836922,2.51019271055904e-07,0.00144269501106868,0.457825497200377,NA
"Gm33222",16.2955652171413,-4.04956006869393e-07,0.0014426950664465,4.60936823076419e-15,9.77119262483882e-13
