"","BC12_fliv_G_1.sort.bam","BC12_fliv_G_2.sort.bam","BC12_fliv_J_1.sort.bam","BC12_fliv_J_2.sort.bam","BC12_fliv_K_1.sort.bam","BC12_fliv_K_2.sort.bam","CTRL_fliv_B_1.sort.bam","CTRL_fliv_B_2.sort.bam","CTRL_fliv_D_1.sort.bam","CTRL_fliv_D_2.sort.bam","CTRL_fliv_E_1.sort.bam","CTRL_fliv_E_2.sort.bam","CTRL_fliv_F_1.sort.bam","CTRL_fliv_F_2.sort.bam"
"Gm43355",6.84066785633991,6.84066785633991,7.0256555636612,7.0259331647319,6.84066785633991,6.84066785633991,7.87869363945527,7.70636383861032,6.99190180395049,7.0438353128247,7.98857788519719,8.05560710570371,6.84066785633991,6.84066785633991
"Lef1",6.84066785633991,6.84066785633991,7.0256555636612,7.03715454434122,7.1183693762336,6.84066785633991,8.99642159352077,8.99773874309749,6.84066785633991,6.84066785633991,7.16997918021343,7.17138354274921,8.47381301237824,8.51328043282051
"Gm43362",6.84066785633991,6.84066785633991,7.05752957561491,7.05785484145334,7.47779254062702,7.24951003165449,8.62244033389501,8.59981965860637,6.99190180395049,6.99215549629785,7.75856407458992,7.76236733617655,8.24027866578451,8.27662561145424
"Mmp16",6.84066785633991,6.84066785633991,7.01372280857419,7.00113984806532,6.84066785633991,6.84066785633991,8.12270697077656,8.12845953826059,6.93634287033059,6.93650345183761,6.84066785633991,6.84066785633991,8.35245397695012,8.35399946779797
"Fancg",6.84066785633991,6.84066785633991,7.23215270553519,7.23811179250304,6.84066785633991,6.84066785633991,8.55102124511619,8.52628398933559,7.32166074058739,7.33629490831005,7.70103043094888,7.70460939503736,7.76573767251581,7.76673451484229
"Atp8b5",6.84066785633991,6.84066785633991,6.95399770805038,6.9871706461187,6.84066785633991,6.84066785633991,7.89838405558982,7.99617104367389,7.00632119507702,7.00659902481681,6.84066785633991,6.84066785633991,7.70516202885143,7.70609747841894
"Glipr2",6.84066785633991,6.84066785633991,7.16063930020896,7.16111815756653,7.30680095922235,7.30772054653391,8.56148689077568,8.56885420951122,7.15015338915571,7.15793729663538,7.57081271511385,7.55568474345413,7.54121684304482,7.54198246613747
"Susd1",6.84066785633991,6.84066785633991,7.34087308332124,7.32883840298036,7.35822250479492,7.35924149258998,8.6323079053739,8.63991338599148,7.57696420191754,7.59292812120626,7.7991736667697,7.80313359737842,7.80374502836286,7.7859753026897
"Acer2",6.84066785633991,6.84066785633991,7.58158351572457,7.57710781618388,7.35822250479492,7.35924149258998,9.48446226990533,9.43141829983744,7.43031189881462,7.42749295539511,8.1554312216192,8.25615811622483,8.22840194743706,8.29928834904122
"Hacd4",6.84066785633991,6.84066785633991,7.11012440649525,7.13329744617074,6.84066785633991,6.84066785633991,7.87869363945527,7.97830415710616,7.18487526554656,7.16503827402403,6.84066785633991,6.84066785633991,8.17953043612898,8.18092361425862
"Ube2u",6.84066785633991,6.84066785633991,7.05752957561491,7.15439782410098,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,7.43031189881462,7.45354020960839,7.73031993536183,7.73401342181986,8.15421974623245,8.15558993705739
"Foxd2os",6.84066785633991,6.84066785633991,7.03686017945942,7.0477652621575,7.37026846976609,7.35924149258998,7.93652493627838,7.94152395406101,7.00632119507702,7.00659902481681,8.17337527533239,8.13309351164715,8.00252482410564,8.00375368472882
"Gm12838",6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,7.99094783294503,8.23165385970247,6.84066785633991,6.84066785633991,7.49509602292999,7.49785165613871,7.89195026912294,7.89307242928287
"Rad54l",6.84066785633991,6.84066785633991,7.05752957561491,7.05785484145334,7.19881236761375,7.19952142066662,8.55102124511619,8.29971492028941,6.95783461020921,6.9580312274985,7.58845496892045,7.59158759846036,7.72587230638209,7.70609747841894
"Gm22335",6.84066785633991,6.84066785633991,6.95399770805038,6.95416792179902,6.84066785633991,6.84066785633991,7.97315390011242,7.97830415710616,6.84066785633991,6.84066785633991,7.85043796718498,7.84201415688311,7.8750056124469,7.87611116067097
"Mpl",6.84066785633991,6.84066785633991,6.95399770805038,6.95416792179902,7.18052034186694,7.18119352315115,8.38174703375836,8.73476791987265,6.84066785633991,6.84066785633991,7.43149454713375,7.45605973827254,7.95673132085276,7.95791635638786
"Stmn1",6.84066785633991,6.84066785633991,7.31940974159352,7.33739560850674,7.14054293944751,7.11892029250922,8.74492803544105,8.94463988986366,7.42652262298779,7.40811447405579,7.78585759166108,7.78976630358809,7.48603456444983,7.48674193083217
"Pla2g2d",6.84066785633991,6.84066785633991,6.95399770805038,6.9333482350237,6.84066785633991,6.84066785633991,7.65146295108233,7.65523938391178,6.84066785633991,6.84066785633991,7.40861631142655,7.41101779517565,7.61614581982912,7.70609747841894
"Atg9b",6.84066785633991,6.84066785633991,6.90611009055647,6.90620841410797,6.84066785633991,6.84066785633991,9.16236226826321,9.17154762448135,7.03191289330729,6.93650345183761,7.55269582020707,6.84066785633991,6.84066785633991,6.84066785633991
"Prkag2os1",6.84066785633991,6.84066785633991,7.27802863717204,7.23273740077508,6.84066785633991,6.84066785633991,7.70236355413294,7.75431929719833,7.15015338915571,7.17198459578134,7.67058370333096,7.64217967596302,8.04623675055366,7.7859753026897
"Gm2810",6.84066785633991,6.84066785633991,7.14005009355113,7.16769820541918,6.84066785633991,6.84066785633991,8.39383384852087,8.27299723510596,7.15740761468099,7.17198459578134,7.45347399764656,7.21021819245756,7.45645904648345,7.56791898389182
"Commd8",6.84066785633991,6.84066785633991,7.93989271077284,7.9379136126141,7.7000702721805,7.70173149046966,8.52981093620204,8.5044141431228,8.31167341786685,8.30866528703996,8.8153213550809,8.82266110893537,8.51160229494785,8.50393853007662
"Pf4",6.84066785633991,6.84066785633991,7.35737786580642,7.35814611597513,7.47779254062702,7.47904013747245,8.45243001368512,8.45941816090895,7.31696456372929,7.31775707340265,7.73031993536183,7.73401342181986,8.06038491613351,8.06166839148531
"Slc10a6",6.84066785633991,6.84066785633991,6.95399770805038,6.90620841410797,6.84066785633991,6.84066785633991,7.99094783294503,7.99617104367389,7.04349532216913,7.0438353128247,7.53406689033301,7.53698060223152,6.84066785633991,6.84066785633991
"Rpap2",6.84066785633991,6.84066785633991,7.65756800733671,7.64620650853048,7.85415489581493,7.85609245483719,9.74074734675933,9.78495716453123,7.75550120984678,7.77324473197538,8.4814699063854,8.48103624076133,8.03188261807911,8.03313929694163
"Chek2",6.84066785633991,6.84066785633991,7.23215270553519,7.26890907073009,7.21619719331274,7.21694028693437,9.25644384403077,9.22893556871192,7.38710744965015,7.37557355638313,8.08036201175087,8.10472625065333,7.54121684304482,7.54198246613747
"Ccdc63",6.84066785633991,6.84066785633991,6.84066785633991,6.9333482350237,6.84066785633991,6.84066785633991,8.02557477144618,7.14152853197326,6.84066785633991,6.84066785633991,7.45347399764656,7.76236733617655,7.85773101541728,7.84118017603716
"P2rx4",8.03884969688994,8.0419618324551,8.45976681108032,8.46197257337564,8.56376430289302,8.62509724726379,9.13611223973205,9.12514000324346,8.7413818051838,8.73127992009202,9.04076538738599,9.01808796044241,9.35877402035514,9.35621667675325
"Rilpl2",6.84066785633991,6.84066785633991,7.43626858501974,7.43715107153529,7.69296242776646,7.65796913046785,8.68990017109544,8.57926462067492,7.50796043476709,7.50239241520936,8.72486450060375,8.65195413442155,8.07433442991696,8.32149573821938
"Limk1",6.84066785633991,6.84066785633991,7.29225794210139,7.29293105000959,7.24870343335647,7.24951003165449,7.87869363945527,7.88345102180339,7.20409254663379,7.21697468349877,7.49509602292999,7.38702854724858,8.07433442991696,8.0756309432654
"Ssc4d",6.84066785633991,6.84066785633991,7.23751918199769,7.23273740077508,6.84066785633991,6.84066785633991,8.38174703375836,8.37622040493452,7.17143166188679,7.15067103377399,7.98857788519719,7.98245356025088,7.97224290464648,7.92606678002488
"Zfp113",6.84066785633991,6.84066785633991,7.54167791725499,7.56299113509133,7.51576911887331,7.49835831341145,8.02557477144618,8.01371102856521,7.55885384559159,7.53186028217447,8.44724291738092,8.4109011347682,8.15421974623245,8.18092361425862
"Micall2",6.84066785633991,6.84066785633991,7.18615914342784,7.1866758427823,6.84066785633991,6.84066785633991,8.15312134799134,8.12845953826059,7.22232416853708,7.19840058472327,7.67058370333096,7.67404290036206,8.04623675055366,8.06166839148531
"Gm15411",6.84066785633991,6.84066785633991,6.84066785633991,6.90620841410797,6.84066785633991,6.84066785633991,8.44094611483416,8.4478934638562,7.08434717076398,6.99215549629785,7.6056555929011,7.36188173831254,6.84066785633991,6.84066785633991
"Dennd2a",6.84066785633991,6.84066785633991,7.3450519939743,7.3499515239493,6.84066785633991,6.84066785633991,7.83794793447689,8.0808831639678,7.33091324465709,7.32711762564332,7.68595949758717,7.68947926826533,8.15421974623245,8.15558993705739
"Gimap1os",6.84066785633991,6.84066785633991,7.04745505386888,7.0477652621575,6.84066785633991,6.84066785633991,8.7803107481609,8.77077147299892,7.11093189019219,7.11138434385589,7.73031993536183,7.73401342181986,7.45645904648345,7.45713498429056
"Gm10443",7.03793863279633,6.84066785633991,7.55332625923397,7.56867340907308,7.1183693762336,7.09474183527772,7.8585574366373,7.94152395406101,7.75315558048886,7.85845410511912,7.78585759166108,7.6088570267184,7.92491250049197,8.47546032035775
