"","BC12_fliv_G_1.sort.bam","BC12_fliv_G_2.sort.bam","BC12_fliv_J_1.sort.bam","BC12_fliv_J_2.sort.bam","BC12_fliv_K_1.sort.bam","BC12_fliv_K_2.sort.bam","CTRL_fliv_B_1.sort.bam","CTRL_fliv_B_2.sort.bam","CTRL_fliv_D_1.sort.bam","CTRL_fliv_D_2.sort.bam","CTRL_fliv_E_1.sort.bam","CTRL_fliv_E_2.sort.bam","CTRL_fliv_F_1.sort.bam","CTRL_fliv_F_2.sort.bam"
"Gm13329",6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,8.40579412954692,8.41261557268646,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991
"Gm26323",6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,7.83794793447689,7.88345102180339,6.84066785633991,6.84066785633991,7.74456639862795,7.71944924368811,8.10166466307934,8.10298657321356
"Il1rn",6.84066785633991,6.84066785633991,7.14005009355113,7.13329744617074,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,7.50464025751468,7.50906123010245,7.7991736667697,7.91493942568139,8.07433442991696,8.06166839148531
"Stpg3",6.84066785633991,6.84066785633991,6.97151869107706,6.97171518644489,6.84066785633991,6.84066785633991,8.29330664537645,8.57926462067492,6.84066785633991,6.84066785633991,7.33331091668879,7.33540059153089,7.80374502836286,7.80477998716907
"Uap1l1",6.84066785633991,6.84066785633991,7.27802863717204,7.27868086322811,6.84066785633991,6.84066785633991,8.34469441409552,8.35129336505203,7.50130222611108,7.48883458337253,7.62244390463694,7.62571228761221,8.35245397695012,8.35399946779797
"Gm13398",6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,8.58214839785183,8.58958585770072,6.84066785633991,6.84066785633991,7.73031993536183,7.74831533809267,6.84066785633991,6.84066785633991
"Brd3os",6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,7.15740761468099,7.18545046475229,7.99921413761907,8.00392438534723,6.84066785633991,6.84066785633991
"Med27",8.42359278777845,8.41733321520528,7.53577477998606,7.52481147009897,7.23279553895585,7.23357108355739,6.84066785633991,6.84066785633991,7.26173857989312,7.27824329663428,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991
"Abl1",8.61946397965568,8.61515762119578,8.49700686515482,8.48660458606724,8.30465058475416,8.31106562166016,8.22550206701489,8.23165385970247,8.10009390167134,8.11645411734716,8.26698589238157,8.16974264267144,7.92491250049197,7.92606678002488
"Gm13611",6.84066785633991,6.84066785633991,6.9332092203156,7.01398254724988,6.95418484694773,7.06797712552046,8.07531874797079,7.82132980131385,7.05444725715939,7.0438353128247,7.95593566262121,7.97153398464667,6.84066785633991,7.03694695158951
"Garnl3",6.84066785633991,6.84066785633991,6.98695101407999,6.9871706461187,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.99190180395049,6.99215549629785,7.67058370333096,7.67404290036206,8.08809218025869,7.82317395013312
"Gm13536",8.41339876605641,8.41733321520528,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991
"Rc3h2",8.97623911889944,8.99414657034195,7.74442231820636,7.74350983421509,7.69296242776646,7.69461067971078,6.84066785633991,6.84066785633991,7.66894422044668,7.6702978457857,7.35968253292296,7.6088570267184,7.42529508043763,7.42593775470213
"Olfml2a",6.84066785633991,6.84066785633991,7.06715319696686,7.01398254724988,6.84066785633991,6.84066785633991,8.56148689077568,8.4821317445869,7.04349532216913,7.05480554059482,7.87497536505308,7.87922391533641,6.84066785633991,6.84066785633991
"Arhgap15",6.84066785633991,6.84066785633991,7.14005009355113,7.14049836596325,6.84066785633991,7.32113902080575,8.41763097249917,8.4244949842899,7.04349532216913,7.0438353128247,7.93352537740823,7.92653869305518,7.70516202885143,7.70609747841894
"Gm13525",8.70261632075577,8.68271170454657,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991
"Neb",8.2601086223294,8.26371810785313,9.15520166409583,9.14368964011001,7.888666717263,7.81394915741918,6.84066785633991,6.84066785633991,7.5619064512047,7.54766259615977,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991
"Gm14033",6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,8.36953045841392,8.3128350692906,6.84066785633991,6.84066785633991,7.68595949758717,7.68947926826533,6.84066785633991,6.84066785633991
"Nr4a2",8.03884969688994,8.01238118021827,7.13285986554777,7.14049836596325,7.45786891123334,7.45907868137897,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991
"Ccdc148",6.84066785633991,6.84066785633991,7.14005009355113,7.14049836596325,6.84066785633991,6.84066785633991,8.41763097249917,8.4244949842899,7.30742531771551,7.31300467090782,6.84066785633991,6.84066785633991,7.56712618829045,7.68479589848253
"Slc38a11",6.84066785633991,6.84066785633991,6.98695101407999,6.84066785633991,6.84066785633991,6.84066785633991,8.39383384852087,8.40061210224547,6.93634287033059,6.93650345183761,7.33331091668879,7.33540059153089,7.5920713365351,6.84066785633991
"Xirp2",6.84066785633991,6.84066785633991,9.25002852994671,9.25530715380704,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991
"Klhl41",6.84066785633991,6.84066785633991,8.2305942415679,8.21783092432899,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991
"Gm13623",6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,8.29330664537645,8.28643719263128,6.84066785633991,6.84066785633991,8.06069235784075,8.06562558720275,6.84066785633991,6.84066785633991
"Hoxd3",6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,8.41763097249917,8.4244949842899,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991
"Gm14464",6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,8.88087856103604,8.88926928346873,6.84066785633991,6.84066785633991,7.57081271511385,7.57387455617823,7.51423148564098,7.51496868380565
"Smtnl1",6.84066785633991,6.84066785633991,8.27857794044805,8.28311316756,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991
"Olfr1042",6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,7.93352537740823,7.93799331702302,7.63942882707808,7.70609747841894
"Olfr1217",8.2601086223294,8.25188718129647,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991
"Olfr1253",8.5302058947904,8.53437674509852,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991
"Agbl2",6.84066785633991,6.84066785633991,6.9332092203156,6.9333482350237,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.97594798764138,6.97617495932738,7.49509602292999,6.84066785633991,7.8750056124469,7.87611116067097
"Traf6",9.28162619892474,9.28708061033125,7.76849738332521,7.75458729053209,7.65638788726948,7.72270949714774,7.31285504425492,7.31509225736104,7.52752101554065,7.51565956335213,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991
"Pax6",6.84066785633991,6.84066785633991,7.01372280857419,7.09420080349113,7.1183693762336,7.11892029250922,9.11607851037369,9.11837595361341,7.16449683494252,7.11138434385589,7.73031993536183,7.73401342181986,7.11772738770177,6.84066785633991
"Gm14014",6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,7.56772807361564,7.5711315483831,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,7.92491250049197,7.92606678002488
"Arhgap11a",6.84066785633991,6.84066785633991,7.24803485833408,7.22728645109401,6.84066785633991,6.84066785633991,8.04243623843282,8.04786860931661,7.30742531771551,7.29844092373416,8.0097338876051,8.01448255406719,7.90858098696313,7.9097193851087
"Meis2",6.84066785633991,6.84066785633991,7.45348406007794,7.46449356704698,7.43723881840086,7.4384093041147,8.26668898708098,8.3128350692906,7.48433444769134,7.47846427245283,7.98857788519719,7.98245356025088,8.30893962943093,8.27662561145424
"Gm14016",6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,8.16800064455841,8.17393064039036,6.84066785633991,6.84066785633991,7.77232430658896,7.77618081002922,6.84066785633991,6.84066785633991
"Ltk",6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,8.60246181612725,8.54775862207085,6.90832650488287,6.90844008440885,7.75856407458992,7.76236733617655,7.80374502836286,7.80477998716907
"Gm14000",6.84066785633991,6.84066785633991,6.95399770805038,6.95416792179902,6.84066785633991,6.84066785633991,8.28007852089206,8.28643719263128,6.84066785633991,6.84066785633991,7.38472566007142,7.38702854724858,6.84066785633991,6.84066785633991
"Fbln7",7.99423767978946,7.99724568004035,7.1672095980038,7.16769820541918,7.1611657721725,7.16180093975966,6.84066785633991,6.84066785633991,7.13510085455199,7.13559350114927,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991
"Ebf4",6.84066785633991,6.84066785633991,7.08525823793154,7.08562490559305,6.84066785633991,6.84066785633991,6.84066785633991,6.84066785633991,7.07480872088981,7.07520098588605,7.78585759166108,7.78976630358809,8.11505801269716,8.11639229677753
