Geneid,BC12_fliv_G_1.sort.bam,BC12_fliv_G_2.sort.bam,BC12_fliv_J_1.sort.bam,BC12_fliv_J_2.sort.bam,BC12_fliv_K_1.sort.bam,BC12_fliv_K_2.sort.bam,CTRL_fliv_B_1.sort.bam,CTRL_fliv_B_2.sort.bam,CTRL_fliv_D_1.sort.bam,CTRL_fliv_D_2.sort.bam,CTRL_fliv_E_1.sort.bam,CTRL_fliv_E_2.sort.bam,CTRL_fliv_F_1.sort.bam,CTRL_fliv_F_2.sort.bam
Gm24725,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Igf2bp1,0,0,0,0,59,61,24,24,2,2,8,8,12,12
Mir3063,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm29202,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37179,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gip,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm24949,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snf8,128,128,764,786,312,309,0,0,1112,1162,122,106,42,43
Ube2z,37,36,271,268,70,71,44,44,226,224,0,0,19,19
Atp5g1,252,232,4134,4023,995,933,151,180,3434,3455,370,355,255,270
Gm22423,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calcoco2,0,0,0,0,0,0,17,28,0,0,0,0,0,0
Ttll6,60,61,2,3,0,0,0,0,0,0,23,23,0,0
Gm11535,0,0,0,0,0,0,49,31,0,0,0,0,0,0
Hoxb13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm27898,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm27605,54,47,0,0,0,0,0,0,0,0,0,0,0,0
Gm11539,0,0,1,6,0,0,0,0,2,0,0,0,11,11
Gm53,0,0,0,0,0,0,0,0,0,0,28,28,0,0
Mir196a-1,0,0,0,0,44,43,0,0,0,0,0,0,0,0
Hoxb9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hoxb8,0,0,0,0,23,26,0,1,0,0,0,0,0,0
Hoxb7,0,0,0,0,6,6,0,0,8,8,0,0,0,0
Hoxb5os,0,0,2,1,0,0,0,0,2,4,0,0,0,0
Hoxb6,0,0,5,5,0,0,0,0,0,0,0,0,0,0
Hoxb5,0,0,24,21,19,19,30,29,20,26,0,0,0,0
Mir10a,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hoxb4,33,33,120,116,27,26,113,114,85,92,193,194,93,98
Hoxb3,0,0,5,10,0,0,0,0,0,0,0,0,0,0
Gm11536,0,0,1,0,0,0,0,0,6,4,0,0,0,0
Hoxb3os,0,0,4,0,0,0,0,0,1,0,16,16,0,0
Hoxb2,0,0,0,0,44,59,136,134,0,0,93,93,0,0
Hoxb1,76,73,4,4,68,69,62,90,0,0,96,101,57,59
Gm11531,0,0,0,0,0,0,0,0,0,1,22,22,0,0
Gm11529,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skap1,0,0,11,11,0,0,0,0,11,11,0,0,13,12
Gm11537,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snx11,0,0,92,95,6,6,0,0,40,39,1,0,0,0
Cbx1,0,0,499,480,224,221,21,21,619,584,16,11,48,47
Gm11517,0,0,0,6,0,0,0,0,21,21,0,0,0,0
Nfe2l1,205,205,1596,1597,286,277,94,95,1087,1111,359,363,157,156
Copz2,0,0,548,548,236,235,25,25,618,615,29,28,74,73
Mir152,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm11523,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm11524,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cdk5rap3,99,100,642,641,208,207,51,50,724,728,63,62,56,56
D030028A08Rik,0,0,27,16,0,0,0,0,2,3,0,20,29,29
Gm11525,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Prr15l,0,0,25,25,0,0,0,0,48,50,0,0,0,0
Pnpo,0,0,1799,1800,422,402,116,117,1437,1421,211,183,52,52
Sp2,0,0,63,60,18,18,0,0,38,41,17,17,42,32
Sp6,0,0,0,0,0,0,53,52,0,0,0,0,0,0
Gm11532,0,0,0,0,0,0,44,27,0,0,0,0,0,0
Scrn2,37,37,734,720,191,191,62,62,853,853,101,102,25,24
Lrrc46,34,34,15,15,0,0,66,42,17,17,0,0,0,0
Gm11533,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mrpl10,0,0,346,361,104,132,60,36,327,342,32,32,0,0
Gm11574,0,0,1,1,0,0,41,41,0,0,15,15,0,0
Osbpl7,0,0,115,113,33,33,78,75,51,48,47,46,0,0
Mir8103,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Gm11573,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tbx21,0,0,6,6,0,0,0,0,8,8,0,0,46,46
Gm11572,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tbkbp1,0,0,251,252,128,162,72,72,142,166,17,14,62,46
Mir7235,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kpnb1,358,360,968,976,328,301,75,75,574,557,170,180,131,117
Gm11583,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Npepps,0,0,296,287,95,96,0,0,236,244,21,21,0,0
Gm11592,0,0,0,0,50,50,0,0,0,0,0,0,0,0
Mrpl45,242,242,568,580,126,125,68,68,434,423,130,129,23,32
Gm11594,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gpr179,173,166,0,0,113,126,263,265,0,0,137,119,103,90
Socs7,0,0,95,96,10,10,0,0,35,35,28,29,60,60
Arhgap23,0,0,167,174,93,93,0,0,88,88,47,47,51,52
4933428G20Rik,0,0,0,1,0,0,0,0,0,0,0,14,0,0
Srcin1,0,0,11,11,0,0,0,20,1,1,0,0,0,0
Gm11611,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2410003L11Rik,0,0,5,5,0,0,0,0,4,4,23,23,0,0
Epop,0,0,50,52,4,5,0,0,38,38,0,0,0,0
Gm11613,32,36,3,3,0,0,0,0,6,6,10,11,19,19
Gm24158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mllt6,174,174,678,672,234,232,50,50,290,288,86,86,85,86
Mir6927,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cisd3,59,56,1600,1592,579,593,93,102,1512,1549,250,268,128,136
Pcgf2,0,0,121,118,56,55,0,0,90,88,100,101,34,33
Psmb3,115,115,1351,1358,428,470,97,109,1760,1686,86,81,99,129
Pip4k2b,47,47,315,309,67,67,29,29,185,183,0,0,68,68
Gm11614,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mir8102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cwc25,0,0,164,163,70,70,47,30,105,106,0,0,0,0
Atp5l2-ps,4,2,2,5,1,0,1,0,7,8,2,0,0,0
1700001P01Rik,0,0,2,5,0,0,57,50,0,0,0,0,0,0
Rpl23,458,464,3532,3524,1385,1371,349,375,4500,4442,792,758,842,840
Gm27326,0,0,3,0,0,0,0,0,7,2,0,0,0,0
Snora21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lasp1,114,112,1120,1117,192,191,217,214,600,596,15,15,196,196
B230217C12Rik,0,0,13,13,13,13,0,0,7,7,0,0,0,0
Fbxo47,53,40,9,9,0,30,84,61,5,5,8,17,47,51
Gm11630,0,0,4,4,0,0,0,0,0,0,0,0,0,0
Plxdc1,0,0,17,16,22,23,52,64,25,25,63,63,15,15
Gm22461,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm11633,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Arl5c,80,80,1,2,0,0,0,0,19,18,0,14,30,30
Cacnb1,1,1,151,151,0,0,0,0,0,0,0,0,0,0
