"Geneid","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Cttnbp2",21.3041490634444,5.91593062199951,1.65644355015287,2.86079688486189e-05,0.00404395948641762
"Mest",6.0729256459346,-1.41306336937242e-06,0.00144269525437076,0.00133012183485858,0.0445532983293498
"Mkln1",225.956813127721,-0.783387681960145,0.319817378902788,0.000359275214393824,0.0194178279487022
"Exoc4",63.4713005290291,1.54674932060772,0.823821232844816,0.0014839272107245,0.0474526918773463
"Ptn",30.5890250984029,5.64424864978469,1.40638532812348,5.11200108253097e-06,0.00110307713106167
"Gm15697",37.1043555697871,4.80693507369236,2.46434116622331,0.000598872777561521,0.0270599171749792
"Igf2bp3",50.3251812573316,9.6729763647099,2.28428401561455,1.14719502205926e-06,0.000401726838633844
"Prr15",14.2772983916173,1.08959365482945e-06,0.00144269519852634,0.00149481396143414,0.0474888526139738
"Pde1c",9.90728344404063,5.41656918757274,1.79350804926399,0.000181959050715979,0.0124054205904062
"Il12rb2",21.1557484357731,-6.84661412863173e-07,0.00144269511605712,0.000775511237079399,0.0323823228751203
"Igkv4-60",15.2853926957175,6.10552041789046e-07,0.00144269509824261,0.00142519128540256,0.0460363675586639
"Smyd1",29.6390033392037,3.2397582774234,1.44689420400101,0.000731367686461724,0.0313025369805618
"Vamp8",395.178807321116,0.554325569895054,0.193105561450247,0.000132562208272851,0.0103681142389243
"Tgoln1",327.948695482568,0.985185819322,0.252169983845073,3.97872262368825e-06,0.000957877471652945
"5430434F05Rik",27.6386152878368,-4.08226404007713e-07,0.00144269506779712,1.28973757623529e-19,3.31204609577221e-16
"Actg2",80.9434022576584,4.91371450650316,1.33624883506654,9.55542777781884e-06,0.00184037539000791
"Antxr1",15.1125073271191,3.26818439517093,1.41578200148598,0.000739724704350282,0.0314852990183125
"Gp9",29.2584900717173,-1.3559983719561e-06,0.00144269527787634,0.000246423195352858,0.0152485485702684
"Copg1",151.316646443174,-1.7409434734718e-05,0.00144271178556392,0.000176131644302223,0.012260480836172
"Gata2",10.2231526663418,-1.14196951683194e-06,0.00144269521968192,0.000437948449620977,0.0221242941369181
"Mgll",714.579999580233,-0.468784444554355,0.235289562571708,0.0011535077907781,0.0417915315968821
"Mcm2",24.7260116603579,3.90491283123535,1.20072065863766,5.92854671318802e-05,0.00615430138294063
"Iqsec1",96.3307557319844,-1.5760826881148e-05,0.00144272550735084,5.56528254638676e-07,0.000238194092985353
"Tafa1",26.8914398529485,7.57835577273635e-07,0.00144269513392773,0.000126813792164624,0.0101291037856338
"Fancd2",19.6975983094254,5.40870774565655,1.32586236850497,4.36472585844518e-06,0.00101313339893198
"Gm44148",13.4145500259147,10.4063846413907,3.65828200602677,1.15673106195141e-05,0.00212177526220801
"Clec4n",20.9874063824157,3.12999322368555,1.44705467721043,0.000922272079052947,0.0356019549767832
"P3h3",47.8578163103048,2.79551164459226,1.13556922457955,0.000463949272806792,0.0229119563955354
"Clec1a",20.6354137837877,3.86380862963955,1.33551718703571,0.000176650230116186,0.012260480836172
"Hmgb1l",25.501564822067,6.80852865479562e-07,0.00144269511499686,0.000235298394607247,0.0149059204280322
"Tmtc1",28.990965167869,5.40572738747633,0.924113738847224,7.71855888185422e-10,9.14827348089307e-07
"3010003L21Rik",13.1236406434854,7.32829164953845,1.75986962756471,1.65892625051963e-06,0.000511214713360129
"Gm44862",23.5668249696002,7.31592128455714e-07,0.0014426951267904,0.000195240677498825,0.012911022999579
"Zfp773",14.8423192009678,-1.54949589579745e-06,0.00144269532251722,0.000861193159622341,0.0341055565398425
"Sult2a8",1826.70587627354,-1.0560161738332e-05,0.00144270240556067,0.00044767850181768,0.0224250260454467
"Sult2a7",86.304506751555,-3.39513043773907e-06,0.00144269614823837,0.000458710513574418,0.0227260822931017
"C5ar1",16.2046557724194,4.82023594663934,1.41289597780857,4.57141113652107e-05,0.0051413359701837
"Pnmal2",9.50087749224464,-1.86243247741316e-06,0.00144269553078446,3.34349520121865e-05,0.00446163855007113
"Gm44655",23.2880787356644,7.14422931555593e-07,0.00144269512261552,0.000237735028425081,0.0149059204280322
"Foxa3",183.844194284656,-0.746508798132039,0.297310917958977,0.000319524573741964,0.0177734102246072
"AC074312.1",24.1493716933954,6.91221089958481e-07,0.00144269511723975,0.000253749126949348,0.0155335989350833
"Zfp59",22.3282449716261,-1.08515179672e-06,0.00144269519762374,0.000986845615096882,0.037451520289194
"9530053A07Rik",15.4390826814499,-1.14842962339864e-06,0.0014426952248378,0.000302480919140504,0.0173903955302869
"Tmem147",190.308101514918,0.793534605550691,0.252628574798728,6.67768371954176e-05,0.006638048435529
"Gm44636",8.88851013460503,-1.23836642929491e-06,0.00144269524563379,9.94097489854078e-05,0.00890618654902991
"Trpm4",32.7532180422983,-4.10471724362211e-06,0.00144269717858079,0.00148914557119718,0.0474526918773463
"Gm9392",9.60734153446947,2.59209481781009,1.06435923337868,0.000537273373753106,0.0251620308291424
"Mrgpra6",40.7180578723017,-7.76775650422118e-07,0.00144269514108176,4.27378928404776e-05,0.00503606934278956
"Cyfip1",162.420714518875,1.15293300365293,0.45806525687972,0.000369136543310541,0.019615331089288
"Gm19187",14.1898433411042,8.25982720360258e-07,0.00144269515102839,0.00121857700784133,0.0428672021388567
"Gm44610",22.045587803332,-7.87380107327154e-07,0.00144269514011456,0.000242459537567849,0.015124763379941
"Gm44669",18.9537319734793,5.65703081160408,1.79072743406978,0.000104891347611227,0.00923523362282164
"Synm",31.447423951378,4.41704627041606,1.36699044917777,6.35057406180152e-05,0.00639540164341424
"Gm29295",30.8793567045371,-4.57701439450848e-07,0.00144269507524479,4.60848665791786e-21,1.42015124850397e-17
"Gm44835",12.9761279963217,6.17388242228333e-07,0.0014426950986093,0.00163341412121222,0.049652409800763
"Plin1",18.6594924071394,4.89655769279388,1.33037709873574,1.826777387849e-05,0.00289027634961531
"Fsd2",14.7524337515071,6.32080613279392e-07,0.00144269510256786,0.00138413266075213,0.0453759915678059
"Trim6",11.0839747249759,6.63766982352351,1.83744343189032,2.3022208799455e-05,0.00337834469697146
"Arfip2",120.68701639139,-1.22696502678641e-05,0.00144271759710039,0.00104966109267091,0.0389022003257358
