"","BC16_fliv_N_1.sort.bam","BC16_fliv_N_2.sort.bam","BC16_fliv_O_1.sort.bam","BC16_fliv_O_2.sort.bam","BC16_fliv_P_1.sort.bam","BC16_fliv_P_2.sort.bam","BC16_fliv_Q_1.sort.bam","BC16_fliv_Q_2.sort.bam","BC16_fliv_R_1.sort.bam","BC16_fliv_R_2.sort.bam","CTRL_fliv_B_1.sort.bam","CTRL_fliv_B_2.sort.bam","CTRL_fliv_D_1.sort.bam","CTRL_fliv_D_2.sort.bam","CTRL_fliv_E_1.sort.bam","CTRL_fliv_E_2.sort.bam","CTRL_fliv_F_1.sort.bam","CTRL_fliv_F_2.sort.bam"
"Prr11",7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.89514056379516,7.89532541694284,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.84284325860784,7.84303733874237,8.32633335085559,8.32611919589742,8.58180051938338,8.56971234356396
"Col1a1",8.77466500114498,8.77411231096981,8.57954973020424,8.56381316697333,8.44250424479793,8.38790690307596,8.47855962073438,8.53770132530728,7.77220626039782,7.77220626039782,8.7108041348059,8.34572984737628,8.50358444809928,8.48220173735063,9.33979997255622,9.28321805209153,10.3863222182779,10.2778919295323
"Samd14",8.53324802668704,8.53282154022936,8.12568188834138,8.12856573370535,8.07905629560574,8.07643907271321,7.77220626039782,7.77220626039782,8.74443656485783,8.74598197282606,7.77220626039782,7.77220626039782,7.98394832436321,7.98452917072897,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782
"Gm11574",7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.77152672502848,8.77701816913188,7.77220626039782,7.77220626039782,8.24134346268813,8.24116153117606,7.77220626039782,7.77220626039782
"Plxdc1",7.77220626039782,7.77220626039782,7.83800363682384,7.83797858777215,8.06657067429566,8.06701203728795,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.89194272174304,9.01440752005508,8.02165984421514,8.02234366315913,8.72071744910277,8.72035918808182,8.33913056986463,8.33967055390243
"Grb7",9.67295100595511,9.66149694483116,9.59361893119939,9.59115769809669,9.71045920382428,9.71373733724176,9.55141510494037,9.55394151658214,9.48318125855796,9.48571270443229,9.12785179120727,9.13507144659103,9.47011544328803,9.47135182527367,9.10604041786689,9.07616931334019,9.07016212239629,9.07133604790697
"Lrrc3c",7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.7108041348059,8.71598520869284,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.64287049010108,8.56971234356396
"Zfp385c",7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.74775756540573,8.75312802703607,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.21246458717765,8.33967055390243
"Vps25",7.77220626039782,7.77220626039782,7.87622753006797,7.87618793946596,7.90259285272143,7.87883866228415,8.43487929334901,8.42790886710042,8.88507726315021,8.88682672589962,7.77220626039782,7.77220626039782,7.90432301385744,7.90468583220256,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782
"G6pc",8.14462601695733,8.14441367710433,10.9975256999281,11.0058598126856,10.9799278817936,10.981695567733,9.52370636278929,9.52610429719961,9.38313114825006,9.34414888812846,8.51085643655118,8.5149871989971,8.83874090640177,8.8415448195179,9.30005598017267,9.33924066116589,8.82145492650618,8.83186716649153
"Aarsd1",7.77220626039782,8.48763046151254,7.77220626039782,7.96383959361134,7.97128487553913,7.96678630355709,7.77220626039782,7.77220626039782,9.15940742289192,9.16153374026964,7.77220626039782,7.77220626039782,7.77220626039782,7.84303733874237,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782
"Dcakd",9.00115692994829,8.99417258353336,8.61315544276991,8.60181327301465,8.78128275903527,8.78963899697027,8.86559706441443,8.86387856043514,9.32360597177118,9.31980986039739,8.57365770617685,8.22324447241588,8.4162329831165,8.4217208875916,8.15581404786471,8.15566485432453,8.52901101798048,8.3930456857723
"Cd300lb",7.77220626039782,7.77220626039782,7.99991836619207,7.9998318406651,7.934796205824,7.93504057721253,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,9.34732344722657,9.34882752430709,8.01663200246897,8.01730210541818,8.42188933064241,8.42163937591688,7.77220626039782,7.77220626039782
"Recql5",8.69910863727154,8.69859476440681,8.75739245502685,8.76815109689988,8.78214673016165,8.78791980533762,9.15814557038433,9.15856399596095,8.56178289882143,8.56305358872695,7.77220626039782,7.77220626039782,8.50194751527301,8.50061673834668,8.31313503863613,8.31292586552947,7.77220626039782,7.77220626039782
"Smim6",7.77220626039782,7.77220626039782,7.97485832353032,7.97478128710896,7.9227466679599,7.92297296320204,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.13830050043735,8.139301185927,8.25658835958885,8.25640062395722,8.74210943013867,8.74301135356254
